Unnamed: 0,bhk,type,locality,area,price,price_unit,money in Cr,region
0,2,1,Grace Grace Fluidic,650,2.62,Cr,2.62,Agripada
1,1,1,Limra Burj Qadri,803,2.25,Cr,2.25,Agripada
2,1,1,Hi Rock Kinjal Nine,684,1.7,Cr,1.7,Agripada
3,1,1,Dudhwala Complex,545,1.6,Cr,1.6,Agripada
4,2,1,Lokhandwala Galaxy,1650,3.5,Cr,3.5,Agripada
5,2,1,K Living Allana Mansion,1179,2.75,Cr,2.75,Agripada
6,3,1,Darvesh Quettawalla Residency,1702,4.5,Cr,4.5,Agripada
7,2,1,Darvesh Mariam Residency,1270,3.5,Cr,3.5,Agripada
8,3,1,KSA Pride,2060,4.75,Cr,4.75,Agripada
9,2,1,Lokhandwala Galaxy,1650,3.4,Cr,3.4,Agripada
10,4,1,Nathani Heights,3454,12.5,Cr,12.5,Agripada
11,3,1,Nathani Heights,2416,8.0,Cr,8.0,Agripada
12,3,1,Nathani Residency,1716,4.5,Cr,4.5,Agripada
13,3,1,K Living Allana Mansion,1950,4.25,Cr,4.25,Agripada
14,3,1,Nathani Residency,1716,5.0,Cr,5.0,Agripada
15,4,1,KSA Pride,3894,10.0,Cr,10.0,Agripada
16,2,1,Nathani Heights,1235,2.8,Cr,2.8,Agripada
17,3,1,Nathani Residency,1716,4.5,Cr,4.5,Agripada
18,3,1,Arok Kinjal Residency,2062,4.5,Cr,4.5,Agripada
19,3,1,Darvesh Quettawalla Residency,1702,4.25,Cr,4.25,Agripada
20,2,1,Nathani Heights,1250,3.35,Cr,3.35,Agripada
21,3,1,Nathani Heights,2000,5.0,Cr,5.0,Agripada
22,2,1,Nathani Heights,1250,3.35,Cr,3.35,Agripada
23,1,1,Nathani Heights,800,2.6,Cr,2.6,Agripada
24,2,1,Arok Kinjal Residency,1300,3.9,Cr,3.9,Agripada
25,1,1,Nathani Heights,800,2.6,Cr,2.6,Agripada
26,2,1,Nathani Heights,1250,3.0,Cr,3.0,Agripada
27,3,1,KSA Pride,1400,5.7,Cr,5.7,Agripada
28,2,1,Arok Kinjal Residency,1300,4.1,Cr,4.1,Agripada
29,2,1,DB Orchid Enclave,1350,4.2,Cr,4.2,Agripada
30,2,1,Limra Burj Qadri,1479,5.0,Cr,5.0,Agripada
31,4,1,Nathani Heights,3676,8.25,Cr,8.25,Agripada
32,2,1,Limra Burj Qadri,1455,3.5,Cr,3.5,Agripada
33,2,1,Nathani Heights,1875,3.5,Cr,3.5,Agripada
34,3,1,Runwal Runwal Divine Bliss,1146,2.05,Cr,2.05,Agripada
35,2,1,Nathani Residency,826,1.7,Cr,1.7,Agripada
36,2,1,Aalay Empire Solitaire,1055,2.25,Cr,2.25,Agripada
37,3,1,Nathani Residency,1323,3.0,Cr,3.0,Agripada
38,3,1,Nathani Residency,1323,2.5,Cr,2.5,Agripada
39,3,1,DB Orchid Enclave,1675,4.0,Cr,4.0,Agripada
40,2,1,Arok Kinjal Residency,1350,3.75,Cr,3.75,Agripada
41,2,1,Dudhwala Complex,680,2.25,Cr,2.25,Agripada
42,1,1,Dudhwala Aquapearl,900,2.0,Cr,2.0,Agripada
43,4,1,United Crystal,2100,9.0,Cr,9.0,Agripada
44,2,1,Aalay Empire Solitaire,1400,3.5,Cr,3.5,Agripada
45,1,1,Reputed Builder Sai Pratik CHS,660,71.0,L,0.71,Airoli
46,1,1,KumKum Corner,555,85.0,L,0.85,Airoli
47,4,1,Reputed Builder Sri Durga,2200,1.9,Cr,1.9,Airoli
48,1,1,Reputed Builder Roop MayaHousing,695,88.0,L,0.88,Airoli
49,2,1,Reputed Builder New Gardens,995,1.3,Cr,1.3,Airoli
50,1,1,Reputed Builder Roop MayaHousing,625,85.0,L,0.85,Airoli
51,1,1,Pyramid Elements,650,95.0,L,0.95,Airoli
52,1,1,Reputed Builder Trishul,665,68.0,L,0.68,Airoli
53,1,1,Raikar Yash Paradise CHS,680,95.0,L,0.95,Airoli
54,2,1,Raikar Yashodeep Height,1100,1.6,Cr,1.6,Airoli
55,3,1,Shubh Satyam Harmony,1470,1.95,Cr,1.95,Airoli
56,2,1,Reputed Builder Ajanta Empress,1050,1.12,Cr,1.12,Airoli
57,1,1,Raikar Yashodeep Height,680,88.0,L,0.88,Airoli
58,1,1,Swaraj Homes Sanjeevani Vrindavan,615,70.0,L,0.7,Airoli
59,1,1,Raikar Yashodeep Height,680,86.0,L,0.86,Airoli
60,2,1,Newa Garden II,1245,1.28,Cr,1.28,Airoli
61,1,1,Reputed Builder Soham CHS,690,78.0,L,0.78,Airoli
62,1,2,Reputed Builder Barkha Apartment,425,44.0,L,0.44,Airoli
63,3,1,B and M Millennium Avanish,1580,2.8,Cr,2.8,Airoli
64,1,1,Reputed Builder Bindal Apartment,680,82.0,L,0.82,Airoli
65,4,1,Sunteck Signia Waterfront,1245,2.25,Cr,2.25,Airoli
66,3,1,Newa Garden II,1545,1.5,Cr,1.5,Airoli
67,1,1,Reputed Builder Ajanta Empress,698,1.05,Cr,1.05,Airoli
68,1,1,Mahavir Mahavir Heritage,680,95.0,L,0.95,Airoli
69,2,1,Newa Garden II,1245,1.27,Cr,1.27,Airoli
70,2,1,Newa Garden II,1245,1.22,Cr,1.22,Airoli
71,1,1,Newa Garden II,667,75.0,L,0.75,Airoli
72,3,1,Sunteck Signia Orion,1850,3.1,Cr,3.1,Airoli
73,3,1,Sunteck Signia Orion,2150,3.15,Cr,3.15,Airoli
74,2,1,Raikar Yashodeep Height,1245,1.5,Cr,1.5,Airoli
75,1,1,Riddhi Siddhi Heritage,667,85.0,L,0.85,Airoli
76,2,1,Green Green Abode,910,1.2,Cr,1.2,Airoli
77,2,1,Sunteck Signia Waterfront,1425,2.25,Cr,2.25,Airoli
78,2,1,Reputed Builder Shakuntala Height,1120,1.3,Cr,1.3,Airoli
79,2,1,Star Rainbow Tower,1150,1.1,Cr,1.1,Airoli
80,1,1,Reputed Builder Roop MayaHousing,695,85.0,L,0.85,Airoli
81,2,1,Raikar Yashodeep Height,1245,1.55,Cr,1.55,Airoli
82,2,1,Reputed Builder New Gardens,995,1.45,Cr,1.45,Airoli
83,1,1,Reputed Builder Palm Springs,680,85.0,L,0.85,Airoli
84,1,1,Reputed Builder Geet Sonali Co-Operative Housing Society,698,92.0,L,0.92,Airoli
85,2,1,Deep Vijay Deep CHS,1125,1.1,Cr,1.1,Airoli
86,1,1,Reputed Builder Satyam View CHS,610,73.0,L,0.73,Airoli
87,2,1,Shreenathji Delta Luxuria,1100,1.9,Cr,1.9,Airoli
88,2,1,Reputed Builder Sundaram Apartment,1000,1.2,Cr,1.2,Airoli
89,1,1,Newa Garden II,650,75.0,L,0.75,Airoli
90,1,1,Reputed Builder Ajanta Empress,750,1.05,Cr,1.05,Airoli
91,3,1,Raikar Yash Paradise CHS,1800,2.25,Cr,2.25,Airoli
92,2,1,Swaraj Homes Sanjeevani Vrindavan,1100,1.1,Cr,1.1,Airoli
93,2,1,Reputed Builder Blacksmith Tower 2,1100,1.45,Cr,1.45,Airoli
94,1,1,Reputed Builder Madhuri,520,86.0,L,0.86,Airoli
95,3,1,Newa Bhakti Park A Wing Phase 1,2080,2.5,Cr,2.5,Airoli
96,2,1,Newa Bhakti Park A Wing Phase 1,1400,1.95,Cr,1.95,Airoli
97,2,1,Reputed Builder Sukh Shanti,750,95.0,L,0.95,Airoli
98,1,1,Reputed Builder Ujala,610,71.0,L,0.71,Airoli
99,1,1,Sunny Garden,650,72.0,L,0.72,Airoli
100,2,1,Reputed Builder New Gardens,1010,1.3,Cr,1.3,Airoli
101,2,1,Swaraj Homes Sanjeevani Vrindavan,1100,1.05,Cr,1.05,Airoli
102,1,1,Reputed Builder Alankar CHS,520,79.0,L,0.79,Airoli
103,2,1,Newa Garden II,1245,1.25,Cr,1.25,Airoli
104,2,1,Shreenathji Delta Luxuria,1100,1.75,Cr,1.75,Airoli
105,1,1,Bhumiraj Meadows,560,75.0,L,0.75,Airoli
106,2,1,Sunteck Signia Waterfront,1050,1.8,Cr,1.8,Airoli
